Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
39,4.4,3,,0.2
40,5.1,3.4,1.5,0.2
41,5,3.5,1.3,0.3
42,4.5,2.3,1.3,0.3
43,4.4,3.2,1.3,0.2
44,5,3.5,1.6,0.6
45,5.1,3.8,1.9,0.4
46,4.8,3,1.4,0.3
47,5.1,3.8,1.6,0.2
48,4.6,3.2,1.4,0.2
49,5.3,3.7,1.5,0.2
50,5,3.3,1.4,0.2
51,7,3.2,4.7,
52,6.4,3.2,4.5,
53,6.9,3.1,4.9,
54,5.5,2.3,4,
55,6.5,,4.6,
56,5.7,2.8,4.5,
57,6.3,3.3,4.7,
58,4.9,2.4,3.3,
59,6.6,2.9,4.6,
,5.2,2.7,3.9,
61,5,2,3.5,
62,5.9,3,4.2,
63,6,2.2,4,1
64,6.1,2.9,4.7,1.4
65,5.6,2.9,3.6,1.3
66,6.7,3.1,4.4,1.4
67,5.6,3,4.5,1.5
68,5.8,2.7,4.1,1
69,6.2,2.2,4.5,1.5
